Market,Product,Country,Date,Retail (MT),Wholesale (MT),Currency
Bujumbura,Maize,Burundi,6/13/2013,823876,760500,BIF
Bujumbura,Maize,Burundi,6/14/2013,828751,765000,BIF
Bujumbura,Maize,Burundi,6/18/2013,650000,600000,BIF
Bujumbura,Maize,Burundi,6/19/2013,660863,610796,BIF
Bujumbura,Maize,Burundi,6/20/2013,601176,551077,BIF
Bujumbura,Maize,Burundi,6/21/2013,656356,605867,BIF
Bujumbura,Maize,Burundi,6/24/2013,657627,607040,BIF
Bujumbura,Maize,Burundi,6/25/2013,600000,570001,BIF
Bujumbura,Maize,Burundi,6/26/2013,651695,601564,BIF
Bujumbura,Maize,Burundi,6/27/2013,653390,603129,BIF
Bujumbura,Maize,Burundi,7/1/2013,648305,598435,BIF
Bujumbura,Maize,Burundi,7/2/2013,647882,598044,BIF
Bujumbura,Maize,Burundi,7/3/2013,648305,598435,BIF
Bujumbura,Maize,Burundi,7/4/2013,648305,598435,BIF
Bujumbura,Maize,Burundi,7/10/2013,699087,649153,BIF
Bujumbura,Maize,Burundi,7/11/2013,702281,652119,BIF
Bujumbura,Maize,Burundi,7/12/2013,691813,642397,BIF
Bujumbura,Maize,Burundi,7/15/2013,696816,647043,BIF
Bujumbura,Maize,Burundi,7/16/2013,694997,645354,BIF
Bujumbura,Maize,Burundi,7/17/2013,696335,646597,BIF
